confidence_score,setup_type_swing,setup_type_scalp,has_3_bar_pattern,has_pop_fade,has_dip_and_rip,has_mean_reversal,volume_spike,atr_ratio,trend_up,trend_down,rr_ratio,rsi,stoch,bb_distance,win
8,0,1,0,0,0,0,0,1.0,0,1,1.1980258250211646,32.546027483100744,10.61316823852072,-0.09391090253462211,1
6,0,1,0,0,0,0,0,1.0,0,1,1.1836717674175954,32.546027483100744,10.61316823852072,-0.09391090253462211,1
6,0,1,0,0,0,0,0,1.0,0,1,1.100029119717839,32.546027483100744,10.61316823852072,-0.09391090253462211,1
6,0,1,0,0,0,0,0,1.0,0,1,1.1472771549064487,33.98743243563736,2.542154380830986,-0.05552531539297176,1
5,0,1,0,0,0,0,0,1.0,0,1,1.0819892920999563,33.98743243563736,2.542154380830986,-0.05552531539297176,1
5,0,1,0,0,0,0,0,1.0,0,1,1.101494284828146,32.332659952263384,7.174016844386196,-0.044499704427195357,1
6,0,1,0,0,0,0,0,1.0,1,0,1.097901131380003,32.81631784040974,10.278005861651339,0.05889554728375683,1
6,0,1,1,0,0,0,0,1.0,1,0,2.0,57.89461552762999,84.462906552062,0.9750461509539439,0
5,0,1,0,0,0,0,0,1.0,1,0,2.0,62.49517765075508,97.26700125584831,0.9807720082954527,0
5,0,1,0,0,0,0,0,1.0,1,0,2.0,62.49517765075508,97.26700125584831,0.9807720082954527,0
6,0,1,0,0,0,0,1,1.0,1,0,2.0,61.35795370680811,75.9346642610298,1.026800203037672,0
6,0,1,0,0,0,0,1,1.0,1,0,2.0,67.15690743843626,83.91614232925095,1.0978687318173939,0
6,0,1,0,0,0,0,1,1.0,1,0,2.0,67.15690743843626,83.91614232925095,1.0978687318173939,0
8,0,1,0,0,0,0,1,1.0,1,0,2.0,72.01686326275717,81.63285572138771,1.0543145998272394,0
4,0,1,0,0,0,0,1,1.0,1,0,1.1098873764443271,72.24115420990827,90.52545159964691,1.0609952125742916,1
4,0,1,0,1,0,0,0,1.0,0,1,2.0,43.89415550973764,9.44158990872023,0.17942168034987246,0
5,0,1,0,0,0,0,0,1.0,1,0,1.0073969541666197,31.902466662627788,3.3368268264743173,-0.22696042024505375,1
6,0,1,0,0,0,0,0,1.0,1,0,1.0986933913975658,31.902466662627788,3.3368268264743173,-0.22696042024505375,1
5,0,1,0,1,0,0,0,1.0,0,1,1.0303551255790986,36.727413912577354,16.888760214514573,0.12879266272708273,1
5,0,1,0,0,0,0,0,1.0,1,0,2.0,57.87127318905566,86.03829874494717,0.8750984420548217,0
5,0,1,0,0,0,0,0,1.0,1,0,2.0,63.62624260160248,93.77442020203378,0.9364825177172114,0
6,0,1,0,0,0,0,0,1.0,1,0,2.0,63.62624260160248,93.77442020203378,0.9364825177172114,0
6,0,1,0,0,0,0,0,1.0,0,1,1.017249464785601,30.52349293103559,11.005720858216941,0.07881926351092959,1
8,0,1,0,0,0,0,0,1.0,0,1,1.0588757326299012,30.52349293103559,11.005720858216941,0.07881926351092959,1
7,0,1,0,0,0,0,0,1.0,0,1,1.0859587961287795,30.52349293103559,11.005720858216941,0.07881926351092959,1
6,0,1,0,0,0,0,0,1.0,0,1,1.0861485576513226,30.52349293103559,11.005720858216941,0.07881926351092959,1
6,0,1,0,0,0,0,0,1.0,0,1,1.1163796851874852,30.52349293103559,11.005720858216941,0.07881926351092959,1
4,0,1,0,0,0,0,0,1.0,0,1,1.0164838214758298,30.52349293103559,11.005720858216941,0.07881926351092959,1
7,0,1,0,1,0,0,0,1.0,0,1,1.0301842514741548,29.45459979635983,7.229673115453971,0.0981342277991563,1
8,0,1,0,0,0,0,1,1.0,0,1,1.107439045297792,24.532281016870172,5.714151448193093,0.08641758178423782,1
5,0,1,0,0,0,0,1,1.0,0,1,1.1267399301945102,24.532281016870172,5.714151448193093,0.08641758178423782,1
6,0,1,0,0,0,0,1,1.0,0,1,1.0716886950246753,24.532281016870172,5.714151448193093,0.08641758178423782,1
7,0,1,0,0,0,0,1,1.0,0,1,1.0595665511657495,24.532281016870172,5.714151448193093,0.08641758178423782,1
5,0,1,0,0,0,0,1,1.0,0,1,0.976073333003221,24.532281016870172,5.714151448193093,0.08641758178423782,1
5,0,1,0,0,0,0,1,1.0,0,1,1.130665786949303,24.532281016870172,5.714151448193093,0.08641758178423782,1
5,0,1,0,0,0,0,1,1.0,0,1,1.1013127561646239,24.532281016870172,5.714151448193093,0.08641758178423782,1
