Date,Asset,Signal,EntryPrice,InitialStopLoss,TrailingStop,ExitPrice,ExitType,PnL
2025-03-20 15:45:00-04:00,Unknown,BUY,235.17,175.17,280.99,280.9,Trailing SL,45.73
2025-03-20 15:55:00-04:00,Unknown,BUY,236.25,176.25,280.99,280.9,Trailing SL,44.65
2025-03-20 17:35:00-04:00,Unknown,SELL,235.6,295.6,278.99,278.99,Trailing SL,-43.39
2025-03-20 17:55:00-04:00,Unknown,SELL,235.69,295.69,278.99,278.99,Trailing SL,-43.3
2025-03-20 18:05:00-04:00,Unknown,SELL,235.18,295.18,278.99,278.99,Trailing SL,-43.81
2025-03-20 18:15:00-04:00,Unknown,BUY,235.59,175.59,280.99,280.9,Trailing SL,45.31
2025-03-20 18:35:00-04:00,Unknown,BUY,235.8,175.8,280.99,280.9,Trailing SL,45.1
2025-03-21 05:20:00-04:00,Unknown,BUY,234.88,174.88,280.99,280.9,Trailing SL,46.02
2025-03-21 05:30:00-04:00,Unknown,BUY,235.21,175.21,280.99,280.9,Trailing SL,45.69
2025-03-21 05:40:00-04:00,Unknown,SELL,234.88,294.88,278.99,278.99,Trailing SL,-44.11
2025-03-21 09:30:00-04:00,Unknown,BUY,239.91,179.91,280.99,280.9,Trailing SL,40.99
2025-03-21 12:55:00-04:00,Unknown,BUY,246.8,186.8,280.99,280.9,Trailing SL,34.1
2025-03-21 13:10:00-04:00,Unknown,SELL,244.84,304.84,278.99,278.99,Trailing SL,-34.15
2025-03-21 13:20:00-04:00,Unknown,BUY,245.6,185.6,280.99,280.9,Trailing SL,35.3
2025-03-21 15:00:00-04:00,Unknown,SELL,245.43,305.43,278.99,278.99,Trailing SL,-33.56
2025-03-24 05:50:00-04:00,Unknown,SELL,257.88,317.88,278.99,278.99,Trailing SL,-21.11
2025-03-24 09:30:00-04:00,Unknown,BUY,262.02,202.02,280.99,280.9,Trailing SL,18.88
2025-03-24 13:10:00-04:00,Unknown,SELL,272.81,332.81,278.99,278.99,Trailing SL,-6.18
2025-03-24 16:40:00-04:00,Unknown,BUY,279.94,219.94,280.99,280.9,Trailing SL,0.96
2025-03-24 16:45:00-04:00,Unknown,BUY,280.73,220.73,280.99,280.9,Trailing SL,0.17
2025-03-24 16:55:00-04:00,Unknown,BUY,281.3,221.3,280.99,280.9,Trailing SL,-0.4
2025-03-24 17:00:00-04:00,Unknown,BUY,281.86,221.86,280.99,280.9,Trailing SL,-0.96
2025-03-24 17:35:00-04:00,Unknown,BUY,282.49,222.49,280.99,280.9,Trailing SL,-1.59
2025-03-24 17:40:00-04:00,Unknown,SELL,282.05,342.05,278.99,278.99,Trailing SL,3.06
2025-03-24 17:50:00-04:00,Unknown,SELL,282.15,342.15,278.99,278.99,Trailing SL,3.16
2025-03-24 17:55:00-04:00,Unknown,SELL,281.8,341.8,278.99,278.99,Trailing SL,2.81
2025-03-24 18:40:00-04:00,Unknown,SELL,280.23,340.23,278.99,278.99,Trailing SL,1.24
2025-03-24 19:10:00-04:00,Unknown,SELL,280.25,340.25,278.99,278.99,Trailing SL,1.26
